u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions
Dr Ameen Kamlana,AmeenKam,12/03/2019,"@GeorgeDigitalDr @DrSelvarajah @DrMurphy11 @babylonhealth @GPatHand It will not only survive, it will continue to expand. Like I said, you are exercising a salesman in spin. https://t.co/fLK65kPNqX",0.0,Negative,1.0,1418,0,2,"Georgedigitaldoctor (GeorgeDigitalDr), Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
Global Gene Corp,GlobalGeneCorp,12/03/2019,"Find out how leapfrogging technology is improving global #healthcare - featuring @babylonhealth and @babylrwanda #globalgenome 
https://t.co/ZwGI2G89Mt",0.0,Negative,0.0,299,1,1,"Babylon (babylonhealth), babyl Rwanda (babylrwanda)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,"@DrMurphy11 @babylonhealth @MHRAdevices @RCPLondon @NHSEngland MHRA is incapable of answering to an industry they don't understand 

Even at MedTech MHRA failed to accept their info sharing was incorrect &amp; chose to allow conference delegates leave with misinformation",-0.5,Negative,0.3,466,1,1,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), Royal College of Physicians (RCPLondon), NHS England (NHSEngland)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,"@GeorgeDigitalDr @DrSelvarajah @DrMurphy11 @babylonhealth I'm appalled by @MHRAgovuk 's lack of action to keep safety at the forefront for patients, surgeons, users &amp; environment 
@IMMDSReview 

We shouldn't have to spoonfeed those in authority

They aren't paid to make errors with human life 

They are paid to keep us all safe",-0.05000000000000002,Negative,0.42500000000000004,466,0,2,"Georgedigitaldoctor (GeorgeDigitalDr), Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRAgovuk (MHRAgovuk), Review Tweets (IMMDSReview)"
Ross Lydall,RossLydall,12/03/2019,"“Brave” opening to @LondonwideLMCs GPs conference from @bengoldacre...
Says @babylonhealth @GPatHand is “one of the most interesting challenges to our current way of working.”
And re Brexit: “The sad realisation you are surrounded by dreadful racists.”",0.05000000000000001,Negative,0.7333333333333334,10883,2,1,"Londonwide LMCs (LondonwideLMCs), ben goldacre (bengoldacre), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
Georgedigitaldoctor,GeorgeDigitalDr,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth Oh and all that usual stuff about using an online triage system/chatbot in such a large patient population without robust testing of its “diagnostic” accuracy. Also where is the independent patient clinical outcomes data? Does is it harm patients?,-0.008928571428571432,Negative,0.32589285714285715,83,0,1,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
Dr Murphy,DrMurphy11,12/03/2019,"@DrSelvarajah @babylonhealth As Medical Director he is responsible for #PatientSafety &amp; #Governance at @babylonhealth.

Given the fundamental flaws in the Babylon #eHealth Chatbot, how does he expect the public to Trust Babylon Health? #Culture 
https://t.co/025UbvpNep",0.06666666666666667,Negative,0.20555555555555557,4052,2,1,"Selvaseelan Selvarajah (DrSelvarajah), Babylon (babylonhealth), Babylon (babylonhealth)"
Georgedigitaldoctor,GeorgeDigitalDr,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth Genuinely interested how he feels the @GPatHand model can survive when it is at odds Primary Care Network model covering specific geographical areas as set out #NHSlongtermplan. All patients need to be covered by PCN and needs CCG and LMC approval.,0.21666666666666667,Neutral,0.375,83,0,1,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
Innocent Twizeyimana,RUB1rwanda,12/03/2019,"@babylrwanda 
I think many would love to try services by @babylonhealth , @babylrwanda.
I am Grateful for the services.",0.5,Neutral,0.55,92,0,0,"babyl Rwanda (babylrwanda), Babylon (babylonhealth), babyl Rwanda (babylrwanda)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,"@DrSelvarajah @keithgrimes @Pamos19 @iDrSunny @ShafiAhmed5 @DrMurphy11 @babylonhealth This was sent to someone at Babylon on the 3rd of March

I have received no response",0.0,Negative,0.0,466,1,0,"Selvaseelan Selvarajah (DrSelvarajah), Dr Keith Grimes (keithgrimes), Pam oshanter (Pamos19), Dr Sandeep Bansal (iDrSunny), Prof Shafi Ahmed (ShafiAhmed5), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,"@DrSelvarajah @keithgrimes @Pamos19 @iDrSunny @ShafiAhmed5 @DrMurphy11 @babylonhealth Hello XXXXXX is Babylon looking for help for the software validation &amp; CE marking? 

Please see my testimonials ESP for validation and please get in touch if you want to find a swift, compliant and cost effective solution 

https://t.co/OHKSbVBRzu",0.6,Neutral,0.8,466,1,0,"Selvaseelan Selvarajah (DrSelvarajah), Dr Keith Grimes (keithgrimes), Pam oshanter (Pamos19), Dr Sandeep Bansal (iDrSunny), Prof Shafi Ahmed (ShafiAhmed5), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,"@DrSelvarajah @keithgrimes @Pamos19 @iDrSunny @ShafiAhmed5 @DrMurphy11 @babylonhealth Babylon is aware of the non-compliance

I've emailed them privately to ask if they need help to validate it &amp; bring it into compliance

Any responsible manufacturer would have responded",0.15,Negative,0.39166666666666666,466,1,1,"Selvaseelan Selvarajah (DrSelvarajah), Dr Keith Grimes (keithgrimes), Pam oshanter (Pamos19), Dr Sandeep Bansal (iDrSunny), Prof Shafi Ahmed (ShafiAhmed5), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
💣 Medical Devices Expert,JoanneD_,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth Ask them if they would like someone to fix their device to make it safe &amp; effective or if they are going to continue as it is with a potential death risk,0.3666666666666667,Neutral,0.7666666666666666,466,0,1,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth)"
Dr Ameen Kamlana,AmeenKam,12/03/2019,@DrSelvarajah @DrMurphy11 @babylonhealth The questions are for @DHSCgovuk &amp; @NHSEngland. He's just a businessman making hay while the sun shines.,0.0,Negative,0.0,1418,0,2,"Selvaseelan Selvarajah (DrSelvarajah), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Department of Health and Social Care (DHSCgovuk), NHS England (NHSEngland)"
Dr Murphy,DrMurphy11,12/03/2019,"@drcadesky @larsendarren @CBCEricRankin @DoctorsOfBC @babylonhealth @atgreenhill Do you discuss #PatientSafety? The @babylonhealth #eHealth Chatbot remains a UK #HealthTech liability.

The issues below were reported to @MHRAdevices during Feb 2019.

@CharlesTam @TELUSHealth
@Samsung @supergovernance
@juggysihota #Governance 
https://t.co/gUTVo2blDM",0.0,Negative,0.0,4052,0,1,"Eric Cadesky MD (drcadesky), Darren Larsen (larsendarren), Eric P Rankin (CBCEricRankin), Doctors of BC (DoctorsOfBC), Babylon (babylonhealth), Alex Greenhill MD 🌎 (atgreenhill), Babylon (babylonhealth), MHRA Devices Safety (MHRAdevices), RegulatoryDad🇨🇦 (CharlesTam), TELUS Health (TELUSHealth), Samsung Electronics (Samsung), Michael Karlin (supergovernance), Juggy Sihota-Chahil (juggysihota)"
Ben Moody,benpmoody,12/03/2019,"Pleasure to meet @babylonhealth and @Sleepio yesterday... Transformative tools used across their home city and beyond

Early trip to Leeds this morning for #healthtechuk Council meeting + catching up with @NHSDigital Leeds city council, GDE evaluation programme and others @techUK https://t.co/DdPaTxkU2V",0.35,Neutral,0.6,1147,0,7,"Babylon (babylonhealth), Sleepio (Sleepio), NHS Digital (NHSDigital), techUK (techUK)"
Selvaseelan Selvarajah,DrSelvarajah,12/03/2019,@DrMurphy11 @babylonhealth Babylon medical director will be at the Londonwide LMC conference today. Any questions you would like asked @DrMurphy11,0.0,Negative,0.0,412,2,7,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), Dr Murphy (DrMurphy11)"
Eric Cadesky MD,drcadesky,12/03/2019,@larsendarren @CBCEricRankin @DoctorsOfBC @babylonhealth @atgreenhill Should be posted later this week,0.0,Negative,0.0,2799,0,1,"Darren Larsen (larsendarren), Eric P Rankin (CBCEricRankin), Doctors of BC (DoctorsOfBC), Babylon (babylonhealth), Alex Greenhill MD 🌎 (atgreenhill)"
Darren Larsen,larsendarren,12/03/2019,@drcadesky @CBCEricRankin @DoctorsOfBC @babylonhealth @atgreenhill Where can we listen?,0.0,Negative,0.0,2472,0,0,"Eric Cadesky MD (drcadesky), Eric P Rankin (CBCEricRankin), Doctors of BC (DoctorsOfBC), Babylon (babylonhealth), Alex Greenhill MD 🌎 (atgreenhill)"
Brinda,thilb2,12/03/2019,"@DrMurphy11 @trishgreenhalgh @meloncarrier @babylonhealth @GPatHand @MattHancock Stump appendicitis is a thing, but I doubt @babylonhealth considered that.",0.0,Negative,0.0,348,0,1,"Dr Murphy (DrMurphy11), Trisha Greenhalgh #PeoplesVote (trishgreenhalgh), Bex (meloncarrier), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock), Babylon (babylonhealth)"
Daniel Bayley,DanielBayley80,11/03/2019,@aislinnmacklin @babylonhealth Id' guess none as they are operating on investment capital and it isn't being used in the NHS.,0.0,Negative,0.0,806,0,0,"Aislinn M-D (aislinnmacklin), Babylon (babylonhealth)"
Eric Cadesky MD,drcadesky,11/03/2019,Thank you for @CBCEricRankin for taking the time to talk about how technology can improve access to care and support or disrupt patient-physician relationships @DoctorsOfBC @babylonhealth @atgreenhill @larsendarren,0.0,Negative,0.0,2799,1,2,"Eric P Rankin (CBCEricRankin), Doctors of BC (DoctorsOfBC), Babylon (babylonhealth), Alex Greenhill MD 🌎 (atgreenhill), Darren Larsen (larsendarren)"
FM HealthTech,FMHealthTech,11/03/2019,"New app from @TELUSHealth and @babylonhealth enables Canadians to visit a doctor through their smartphone

#healthcareIt #digitalhealth #innovation #digitization

@billgeary @akalali @SecBurwell @MerlinWatson4 @Colin_Hung @jameyedwards @crisdeluca 
https://t.co/y5ripamiQM",0.13636363636363635,Negative,0.45454545454545453,40,1,1,"TELUS Health (TELUSHealth), Babylon (babylonhealth), Bill Geary (billgeary), Amir Kalali, MD (akalali), Sylvia Burwell (SecBurwell), Merlin Watson (MerlinWatson4), Colin Hung (Colin_Hung), Jamey Edwards (jameyedwards), Cris De Luca (crisdeluca)"
Kathleen Kieran,KieranKathleen,11/03/2019,"@meloncarrier @DrMurphy11 @trishgreenhalgh @babylonhealth @GPatHand @MattHancock It doesn’t.  It may stretch, but it doesn’t grow back.",0.0,Negative,0.0,141,0,1,"Bex (meloncarrier), Dr Murphy (DrMurphy11), Trisha Greenhalgh #PeoplesVote (trishgreenhalgh), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Chad Jennings,chadjennings,11/03/2019,@jmspool Hi Jared - @babylonhealth is building out a new UX team in Austin. Looking for Product Designers and Researchers to help us design accessible and affordable health care. @msjaneaustin will be there for open house on 20 March as well! Apply here: https://t.co/As9vGyssh6,0.17045454545454544,Negative,0.4431818181818182,677,1,10,"Jared Spool (jmspool), Babylon (babylonhealth), Jane “it’s spelt with an i” Austin (msjaneaustin)"
Bex,meloncarrier,11/03/2019,"@KieranKathleen @DrMurphy11 @trishgreenhalgh @babylonhealth @GPatHand @MattHancock What is the reason for it growing back, does the foreskin continue to grow? I’m curious!",-0.0625,Negative,0.5,767,0,0,"Kathleen Kieran (KieranKathleen), Dr Murphy (DrMurphy11), Trisha Greenhalgh #PeoplesVote (trishgreenhalgh), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Kathleen Kieran,KieranKathleen,11/03/2019,"@DrMurphy11 @trishgreenhalgh @meloncarrier @babylonhealth @GPatHand @MattHancock As a urologist, I have received multiple consults for the foreskin growing back after circumcision.",0.0,Negative,0.0,141,0,3,"Dr Murphy (DrMurphy11), Trisha Greenhalgh #PeoplesVote (trishgreenhalgh), Bex (meloncarrier), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
💣 Medical Devices Expert,JoanneD_,11/03/2019,"@cpeedell @DrMurphy11 @babylonhealth It has legal requirement that haven't been fulfilled

It has nothing to do with pilot evidence &amp; peer reviews @CandiaMcCullou2 @IMMDSReview @AnnaCCampaigns @MeshiesU",0.2,Negative,0.2,466,1,0,"Clive Peedell (cpeedell), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Mrs Candia McCullough (CandiaMcCullou2), Review Tweets (IMMDSReview), Yvette Greenway (AnnaCCampaigns), meshies united group uk (MeshiesU)"
Neil Cripps,cripps_neil,11/03/2019,@DrMurphy11 @meloncarrier @babylonhealth @GPatHand @MattHancock Perhaps he’s previously had my “favourite” operation - laparoscopic distal partial appendectomy?,-0.13333333333333333,Negative,0.23333333333333334,135,0,1,"Dr Murphy (DrMurphy11), Bex (meloncarrier), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
Dr Murphy,DrMurphy11,11/03/2019,"If you want to understand why the @babylonhealth #eHealth Chatbot is a Healthcare liability; listen to Ali Parsa's comments in the embedded video.

#HealthTech should improve #PatientExperience &amp; #PatientSafety - it must not be used as an excuse to lower standards or expectations https://t.co/zdKTxb2PjI",-0.05,Negative,0.05,4052,13,16,Babylon (babylonhealth)
💣 Medical Devices Expert,JoanneD_,11/03/2019,"@kieran_walshe @DrMurphy11 @babylonhealth Very dangerous indeed  @MHRAgovuk is not acting responsibility

Business as usual 
 @IMMDSReview",-0.3433333333333333,Negative,0.4166666666666667,466,1,1,"Kieran Walshe (kieran_walshe), Dr Murphy (DrMurphy11), Babylon (babylonhealth), MHRAgovuk (MHRAgovuk), Review Tweets (IMMDSReview)"
Tom Harman,tomharman,11/03/2019,"We're hiring product designers in Austin! If you think this sounds intriguing, go see ~ Austin in Austin ~ to learn what we're up to at @babylonhealth. You'll get to work with a fantastic global design org, plus, receive regular motivational GIFs from me via Slack DMs ✨🌝✨ https://t.co/XR9RRpjmIt",0.17500000000000002,Negative,0.34423076923076923,1870,1,6,Babylon (babylonhealth)
Sid Shah,Sid_Healthcare,11/03/2019,".@babylonhealth #triage #chatbot launches in #BritishColumbia #Canada, @TELUSHealth https://t.co/gzAqNrEEsk",0.0,Negative,0.0,2814,0,2,"Babylon (babylonhealth), TELUS Health (TELUSHealth)"
ThatIsNotHowThatWorks,ThatIsNotHowTh1,11/03/2019,@kieran_walshe @babylonhealth This seams suboptimal.,0.0,Negative,0.0,8,0,1,"Kieran Walshe (kieran_walshe), Babylon (babylonhealth)"
DrColinW🔶#RevokeArticle50,sxybio,11/03/2019,@DrMurphy11 @meloncarrier @babylonhealth @GPatHand @MattHancock What's a 'tummy',0.0,Negative,0.0,3480,0,0,"Dr Murphy (DrMurphy11), Bex (meloncarrier), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
John Carlisle,ProJohnCarlisl,11/03/2019,"@kieran_walshe @babylonhealth OK, OK, OK; but you must admit, it is quicker and much easier to outsource to a private company.",0.33999999999999997,Neutral,0.41500000000000004,158,0,0,"Kieran Walshe (kieran_walshe), Babylon (babylonhealth)"
Matthew Rudy Jacobs,matthewrudy,11/03/2019,"So in 4 weeks I’m starting work at @babylonhealth as they double the size of their dev team, and take the product global.

Should be fun.

https://t.co/ph7hOMvT9d",0.075,Negative,0.07500000000000001,1076,0,17,Babylon (babylonhealth)
david oliver,mancunianmedic,11/03/2019,@YourMrBumbles @kieran_walshe @MattHancock @babylonhealth @DHSCgovuk @DrMurphy11 i don't but that is not an accusation i would be levelling in any case. MPs including cabinet ministers have to register any commercial interests. I simply think he is somewhat overenthusiastic about technology and Babylon are very good self promoters and caught his attention,0.3033333333333333,Neutral,0.3790476190476191,16691,0,1,"David (YourMrBumbles), Kieran Walshe (kieran_walshe), Matt Hancock (MattHancock), Babylon (babylonhealth), Department of Health and Social Care (DHSCgovuk), Dr Murphy (DrMurphy11)"
Val Dobson,ValDobson,11/03/2019,"@meloncarrier @zeno001 @babylonhealth No pancreatic cancer? That's one of the diagnoses I got when I googled ""pain in abdomen"". 😳",0.0,Negative,0.0,552,0,0,"Bex (meloncarrier), (((Alan Henness))) (zeno001), Babylon (babylonhealth)"
Tim Trebble,timtrebble,11/03/2019,@kieran_walshe @babylonhealth Are we saying that IT in general and AI in particular may have value in decision support for clinicians in managing patients with complex presentations. But it may be too early to consider wholesale substitution of human beings by computer programs?,0.0033333333333333383,Negative,0.3266666666666667,132,0,1,"Kieran Walshe (kieran_walshe), Babylon (babylonhealth)"
Indi-Adam Jones,adamrobertjones,11/03/2019,@abookclubof1 @kieran_walshe @JonAshworth @babylonhealth I’ve had surgeons about to operate in me ask the same question! #truth #haemophilia,0.0,Negative,0.125,662,0,1,"Simon Fletcher (abookclubof1), Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
Lindsay 🏳️‍🌈,LindsayPB,11/03/2019,"@kieran_walshe @JonAshworth @babylonhealth Current ""AI"" doesn't merit the name. It's a pattern recognition bot and that's it, and horribly prone to the designer's bias creeping in.",-0.5,Negative,0.7,5587,0,1,"Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
RoughRabbit,RabbitRough,11/03/2019,@dthroat @kieran_walshe @drphilhammond @babylonhealth Isn’t he completely wi-fi?,0.1,Negative,0.4,73,0,0,"derek thrower (dthroat), Kieran Walshe (kieran_walshe), Dr Phil Hammond (drphilhammond), Babylon (babylonhealth)"
OFUCLeaveEU,JihadiPig,11/03/2019,@kieran_walshe @JonAshworth @babylonhealth Has anyone has ever answered ‘I don’t know’ to this... https://t.co/JeoiucGsFM,0.0,Negative,0.0,389,0,2,"Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
vanessa frank,vanessafrank3,11/03/2019,@kieran_walshe @JonAshworth @babylonhealth Surely it has to get @NICE approval?,0.55,Neutral,0.9444444444444444,429,0,0,"Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
Simon Fletcher,abookclubof1,11/03/2019,"@kieran_walshe @JonAshworth @babylonhealth Hey it's about as accurate as some House Officers I've known. 😉 seriously, I've known a house officer ask a person with haemophilia, ""how long have you had a bleeding disorder?""",0.005555555555555587,Negative,0.5666666666666668,224,0,0,"Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
vanessa frank,vanessafrank3,11/03/2019,@kieran_walshe @JonAshworth @babylonhealth Dies this thing have to pass NICE approval or similar?,0.3,Neutral,0.7,429,0,0,"Kieran Walshe (kieran_walshe), Jonathan Ashworth (JonAshworth), Babylon (babylonhealth)"
(((Cllr Neil Nerva)))🇪🇺,redstarneil,11/03/2019,@kieran_walshe @hammersmithandy @babylonhealth @sarahwollaston further info for a @CommonsHealth  E GP investigation ?,0.0,Negative,0.5,2065,2,0,"Kieran Walshe (kieran_walshe), Andy Slaughter (hammersmithandy), Babylon (babylonhealth), Sarah Wollaston MP (sarahwollaston), Health and Social Care Committee (CommonsHealth)"
David,YourMrBumbles,11/03/2019,@mancunianmedic @kieran_walshe Do we know if Matt the App @MattHancock has declared any hospitality or emoluments from @babylonhealth either before or after becoming SoS for @DHSCgovuk His pronouncements have appeared deeply unprofessional from Day 1 @DrMurphy11,0.225,Neutral,0.625,2876,0,0,"david oliver (mancunianmedic), Kieran Walshe (kieran_walshe), Matt Hancock (MattHancock), Babylon (babylonhealth), Department of Health and Social Care (DHSCgovuk), Dr Murphy (DrMurphy11)"
David,YourMrBumbles,11/03/2019,@DrMurphy11 @meloncarrier @babylonhealth @GPatHand @MattHancock Appendix can’t regrow though recurrent (stump) appendicitis is recognised due to incomplete appendicectomy https://t.co/I9xyO7X9p0 What @babylonhealth aren’t incorporating is evidence of adhesion/obstruction frequent cause of abdominal pain after previous Sx,-0.06388888888888888,Negative,0.28055555555555556,2876,0,2,"Dr Murphy (DrMurphy11), Bex (meloncarrier), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock), Babylon (babylonhealth)"
David,YourMrBumbles,11/03/2019,@DrMurphy11 @drphilhammond @GPatHand @MattHancock Did you get an option @babylonhealth to say if your Irish doppelgänger had previous surgery ie. appendectomy/appendicectomy? Any AI that doesn’t have previous surgery in history of Abdominal pain is going to be wrong frequently (adhesions after previous surgery).  @adahealth,-0.15,Negative,0.2833333333333334,2876,0,2,"Dr Murphy (DrMurphy11), Dr Phil Hammond (drphilhammond), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock), Babylon (babylonhealth), Ada (adahealth)"
Matthew Lake,MatthewLake13,11/03/2019,"Affordable?!? Healthcare should be free ffs, no place anywhere for profiteering in healthcare!! 
#MedicareForAll https://t.co/q9kRCMzJS7",0.625,Neutral,0.8,458,0,0,
Pocahontas,hilaryprice777,11/03/2019,@aislinnmacklin @babylonhealth And fully endorsed by Matt Hancock.,0.0,Negative,0.0,316,1,1,"Aislinn M-D (aislinnmacklin), Babylon (babylonhealth)"
ben dean,bendean1979,11/03/2019,@cpeedell @babylonhealth I would add it's only a matter of time before Babylon crashes and burns. Clear evidence of management dysfunction and poor systems present.,-0.075,Negative,0.49583333333333335,5045,0,1,"Clive Peedell (cpeedell), Babylon (babylonhealth)"
WillyWhite,ooWillyWhite,11/03/2019,@kieran_walshe @HelenRSalisbury @babylonhealth It really warms the heart to see so many Doctors helping with minor bug fixes for the FUTURE of front line health care.,0.16249999999999998,Negative,0.25625,22,0,0,"Kieran Walshe (kieran_walshe), Dr Helen Salisbury (HelenRSalisbury), Babylon (babylonhealth)"
ben dean,bendean1979,11/03/2019,@cpeedell @babylonhealth Senior management and CEO to blame. It's likely staff are being bullied into compliance.,0.0,Negative,1.0,5045,2,3,"Clive Peedell (cpeedell), Babylon (babylonhealth)"
sh33p_purple,sh33p_purple,11/03/2019,@kieran_walshe @glynmoody @babylonhealth Not to mention all the information they collect on people.,0.0,Negative,0.0,228,0,0,"Kieran Walshe (kieran_walshe), Glyn Moody (glynmoody), Babylon (babylonhealth)"
Alia,Meenakumari999,11/03/2019,@cpeedell @babylonhealth Awful 😡😱🇬🇧👌🏾❤️.,-1.0,Negative,1.0,3515,0,0,"Clive Peedell (cpeedell), Babylon (babylonhealth)"
Andrew Langstaff,cowboycoder,11/03/2019,"@cpeedell @babylonhealth I hope they've employed higher quality medical staff than they clearly have software staff. At any point a diagnosis appears in it's set of possibilities, that is treatable by surgery, it should rule that out by asking about any previous history. Obvious.",0.036666666666666674,Negative,0.31,202,0,0,"Clive Peedell (cpeedell), Babylon (babylonhealth)"
Female Healthcare,Incostress,11/03/2019,@cpeedell @drphilhammond @babylonhealth I fully agree with you @cpeedell,0.0,Negative,0.0,1955,0,0,"Clive Peedell (cpeedell), Dr Phil Hammond (drphilhammond), Babylon (babylonhealth), Clive Peedell (cpeedell)"
angusmb,angusmb,11/03/2019,@kieran_walshe @babylonhealth @DrMurphy11 Its all about the training data 😀 https://t.co/Yamki3nDqV,0.0,Negative,0.0,73,10,11,"Kieran Walshe (kieran_walshe), Babylon (babylonhealth), Dr Murphy (DrMurphy11)"
Clive Peedell,cpeedell,11/03/2019,"I don’t have a problem with doctors working with @babylonhealth to develop apps. I do have a problem with these doctors allowing a clinical diagnostics chatbot app to be used publicly, without publishing pilot evidence in a peer reviewed journal. They should ashamed of themselves https://t.co/KRgUQDhDXB",0.0,Negative,0.06666666666666667,32097,71,120,Babylon (babylonhealth)
