,u_name,u_screen_name,t_date,t_text,t_polarity_score,t_polarity,t_subjectivity_score,u_followers,t_retweets,t_favorited,t_mentions
11,There is no sensible Brexit #fbpe 🏳️‍🌈 🇪🇺🇬🇧,iggynowa,19/03/2019,@babylonhealth @MikeStuchbery_ Ok you’re scary now ;),0.08333333333333333,Negative,0.8333333333333334,120,0,0,"Babylon (babylonhealth), Mike Stuchbery💀🍷 (MikeStuchbery_)"
12,Robert Dyson,RobertDDyson,19/03/2019,"@DrMurphy11 @babylonhealth @BadBotThreads My experience is that medics care about tech - but the tech that helps them give better treatment. On &amp; off over decades I have worked with people in the NHS on tech, I trust them to know what they want. My local hospital invited a friend from the US over to discuss cardio scans.",0.25,Neutral,0.25,262,1,1,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), BadBotThreads (BadBotThreads)"
13,Medical Reel,MedicalReel,19/03/2019,"⁦@babylonhealth⁩ are really shaking up #medicine - but this article shows how the multiple layers of complexity in #healthcare systems can hold back rapid #innovation progress:

The messy, cautionary tale of how Babylon disrupted the NHS - WIRED UK https://t.co/kbh49vESIU",0.0,Negative,0.15000000000000002,24046,0,0,Babylon (babylonhealth)
14,Alexazz_,alexazz_,19/03/2019,@hannahchrstina @natehiggins @DrMurphy11 @babylonhealth @GPatHand Plus their AI development is going to be a game changer in the future. It should be able to diagnose better than real life doctors eventually 😀,0.16,Negative,0.39,2,0,0,"Hannah (hannahchrstina), Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
15,Alexazz_,alexazz_,19/03/2019,@hannahchrstina @natehiggins @DrMurphy11 @babylonhealth @GPatHand Currently I find normal GP services to be a bit rubbish tbh - limited out of office hours opening times and long waits for non urgent appointments are particularly annoying. Babylon let's you pick a time the same day and talk from the comfort of your own home. It's great.,0.07857142857142857,Negative,0.5459821428571427,2,0,0,"Hannah (hannahchrstina), Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
16,Alexazz_,alexazz_,19/03/2019,"@hannahchrstina @natehiggins @DrMurphy11 @babylonhealth @GPatHand I struggled to get travel vaccines from normal GP due to limited opening times and appointment waits, so it's not just a babylon issue. On the complex case point, that does seem trickier. Setting up more (local) babylon sites might solve this, or partnerships with local GPs.",0.021938775510204084,Negative,0.2954081632653061,2,0,0,"Hannah (hannahchrstina), Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
17,Alexazz_,alexazz_,19/03/2019,"@hannahchrstina @natehiggins @DrMurphy11 @babylonhealth @GPatHand That's my suggested solution to the problem of underfunding in the Fulham CCG. If cherry picking is an issue, it looks like the age related fee needs to have a larger weight. On the travel vaccine wait point, it's not the end of the world - they can fix that.",0.0,Negative,0.45,2,0,0,"Hannah (hannahchrstina), Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
18,Matthew Holt,boltyboy,19/03/2019,Which means @babylonhealth &amp; @GPatHand experiment is conflating 2 tech services and 2 funding streams at once. I’m sure those consultants the UK gov hires for the NHS will have drawn @matthancock &amp; Ali Parsa the 2 x 2 telling them not to do a new product in a new environment /5,0.25757575757575757,Neutral,0.5993265993265994,22772,0,1,"Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
19,Hannah,hannahchrstina,19/03/2019,@alexazz_ @natehiggins @DrMurphy11 @babylonhealth @GPatHand That isn't what it says!,0.0,Negative,0.0,750,0,0,"Alexazz_ (alexazz_), Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand)"
20,Matthew Holt,boltyboy,19/03/2019,"When those chatbots (@babylonhealth @avahealth @buoyhealth) get really smart, they are going to have a big impact BUT we aren’t even at the driverless car level of tech in health care yet /4",0.10714285714285714,Negative,0.37142857142857144,22772,0,0,"Babylon (babylonhealth), AVA Health (avahealth), Buoy Health (buoyhealth)"
21,Matthew Holt,boltyboy,19/03/2019,"The “other” @babylonhealth is an AI based chatbot that is the cleverest diagnostician on the planet/cant diagnose an obvious heart attack (delete where applicable based on your view). As @ManeeshJuneja will tell you, there’s a lot of potential here but... /3",-0.041666666666666664,Negative,0.625,22772,1,2,"Babylon (babylonhealth), Digital Health Futurist 👨‍💻 (ManeeshJuneja)"
22,Matthew Holt,boltyboy,19/03/2019,Also pretty clear that there are “2 @babylonhealth (s). 1 is a medical group using a mix of simple forms &amp; telehealth (a la @lemonaidhealth @SherpaaHealth) Why wouldn’t the NHS let the equivalent of @Zipnosis be used by any GP instead of segregating the young healthys /2,0.09000000000000001,Negative,0.4280952380952381,22772,0,2,"Babylon (babylonhealth), Lemonaid Health (lemonaidhealth), Sherpaa (SherpaaHealth), Zipnosis (Zipnosis)"
23,Matthew Holt,boltyboy,19/03/2019,Interesting piece on @babylonhealth but what it demonstrates is that the NHS hasn’t figured out how to fix the funding scheme that puts too much money ate GP and CCG level. Theoretically AI + telemedicine ought to be saving the NHS money for simple cases https://t.co/zh1lKFQFmG,0.175,Negative,0.28928571428571426,22772,1,3,Babylon (babylonhealth)
24,Dr Sandeep Bansal,iDrSunny,18/03/2019,@ShafiAhmed5 @TelegraphTech Wonder how theyll do compared to @adahealth @babylonhealth etc @DrMurphy11,0.0,Negative,0.0,1804,0,0,"Prof Shafi Ahmed (ShafiAhmed5), Telegraph Technology Intelligence (TelegraphTech), Ada (adahealth), Babylon (babylonhealth), Dr Murphy (DrMurphy11)"
25,Dr Pranev Sharma,psmedic,18/03/2019,@MattHancock Yet still pushes the dangerous @babylonhealth chatbot,-0.6,Negative,0.9,207,1,1,"Matt Hancock (MattHancock), Babylon (babylonhealth)"
26,christian schmitt,wuest23,18/03/2019,"@DrMurphy11 @babylonhealth @BadBotThreads Rubbish! Do people who ask for evidence, who want tech with scientific credentials not the very best for their family? Who is he talking to? Who in the NHS is against modern tools? The ship is sinking! @doktor_glad go U.K., that’s the place to be, greedy healthcare hyenas!",0.65625,Neutral,0.345,156,0,1,"Dr Murphy (DrMurphy11), Babylon (babylonhealth), BadBotThreads (BadBotThreads), Doktor Glad AB (doktor_glad)"
27,Alexazz_,alexazz_,18/03/2019,@natehiggins @DrMurphy11 @babylonhealth @GPatHand @hannahchrstina Have you used babylon? It's excellent. The article just points out a few niggles that need ironing out; e.g. funding money needs to be moved from the CCG of someone's residence to Babylon's CCG. Not hard. I'm glad Babylon are modernising healthcare as the NHS is so slow to do so,0.22916666666666666,Neutral,0.6083333333333333,2,0,1,"Nate Higgins (natehiggins), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Hannah (hannahchrstina)"
28,elitist cheeseboard Graham,PoliticalGM,18/03/2019,"@HealthTechInsi2 @DrMurphy11 @babylonhealth @GPatHand @MattHancock Blockchain?! You want the latest quantum crystal app. That should work.

Or chalk and a very large blackboard.",0.3892857142857143,Neutral,0.7285714285714286,246,0,1,"HealthTechInsider (HealthTechInsi2), Dr Murphy (DrMurphy11), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Matt Hancock (MattHancock)"
29,Dr Murphy,DrMurphy11,18/03/2019,"I now recognise the homology between Ali Parsa &amp; Matt Hancock.

They both fail to appreciate the negative impact of their vacuous Rhetoric, on the Healthcare services that they are responsible for delivering. 

#NHS #CrisisByDesign
@babylonhealth @BadBotThreads
#DHRewired19 https://t.co/tSyqkK6EDZ",-0.20000000000000004,Negative,0.4166666666666667,4083,5,10,"Babylon (babylonhealth), BadBotThreads (BadBotThreads)"
30,Claire Sutton 💁🏼👜👩🏼‍💻👸🏼,ClaireLSutton,18/03/2019,"I’m a big fan of how we might be able to use #AI &amp; #ML #HealthTech &amp; #CareTech like @babylonhealth, @AskNHS, @IsabelHealth, @adahealth &amp; others to drive improvement in care. The key for me is very much making sure it’s in a SAFE and SUSTAINABLE way.  https://t.co/5wK31aJMeV",0.29333333333333333,Neutral,0.5623148148148148,494,0,1,"Babylon (babylonhealth), AskNHS (AskNHS), Isabel Healthcare (IsabelHealth), Ada (adahealth)"
31,Beatrice Zatorska,BeatriceSpot,18/03/2019,"now I remember why stopped reading ⁦@WiredUK⁩ cos it’s 💩 what a badly researched and written piece about ⁦@babylonhealth⁩ , just stupid, lack of knowledge, one sided ⁦ https://t.co/2luwjfmibl",-0.7499999999999999,Negative,0.8333333333333333,1147,0,0,"WIRED UK (WiredUK), Babylon (babylonhealth)"
32,Ian Jackson,dr_ianjackson,18/03/2019,@DrMurphy11 @TELUS @babylonhealth @CBCNews @BadBotThreads All I can say is they are very brave. I wouldn't be able to sleep at night worrying about this given they can't say they weren't warned when something goes wrong.,0.3333333333333333,Neutral,0.8416666666666667,38,0,1,"Dr Murphy (DrMurphy11), TELUS (TELUS), Babylon (babylonhealth), CBC News (CBCNews), BadBotThreads (BadBotThreads)"
33,Nicholas Pedersen,npedersen1,18/03/2019,@benedictC Hi Benedict - we're looking for iOS contractors at @babylonhealth. Happy to speak. Can you email me: nick.pedersen@babylonhealth.com,0.8,Positive,1.0,326,1,1,"Benedict Cohen (benedictC), Babylon (babylonhealth)"
34,christian schmitt,wuest23,18/03/2019,@DrMurphy11 @TELUS @babylonhealth @CBCNews @BadBotThreads Spännade @hakan_nordgren o @doktor_glad,0.0,Negative,0.0,156,0,0,"Dr Murphy (DrMurphy11), TELUS (TELUS), Babylon (babylonhealth), CBC News (CBCNews), BadBotThreads (BadBotThreads), Håkan Nordgren (hakan_nordgren), Doktor Glad AB (doktor_glad)"
35,Prostate Experts,ProstateExperts,18/03/2019,how do #digitalhealth GP services  @babylonhealth @GPatHand @PushDoctor @LIVI_uk support patients worried about #prostatecancer? DO you support a recommended diagnostic pathway? @keithgrimes  https://t.co/o6lzxINEeU,0.0,Negative,0.0,58,0,0,"Babylon (babylonhealth), Babylon GP at hand (GPatHand), Push Doctor (PushDoctor), LIVI UK (LIVI_uk), Dr Keith Grimes (keithgrimes)"
36,Dr Murphy,DrMurphy11,18/03/2019,"Filling the medical care gap or causing cracks? @TELUS launches @babylonhealth App... @CBCNews

@BadBotThreads #DueDiligence 
https://t.co/q0psyUZnwT",0.0,Negative,0.0,4083,6,6,"TELUS (TELUS), Babylon (babylonhealth), CBC News (CBCNews), BadBotThreads (BadBotThreads)"
37,Dr. Mike,EmergMedDr,18/03/2019,"Great article about how Babylonhealth has disrupted the NHS and cost more money.

https://t.co/3OmhGbzqr5",0.65,Neutral,0.625,2604,4,5,
38,Nicholas Green,nickgreenms,18/03/2019,@babylonhealth I have been waiting for a few months and still can’t use your service. Please help,-0.2,Negative,0.1,18,0,0,Babylon (babylonhealth)
39,Nate Higgins,natehiggins,18/03/2019,"About half a year ago, I rejected an interview offer for a software engineering position at @babylonhealth to work on @GPatHand, despite it being a great opportunity for my career. Here’s why. https://t.co/8JsTzAVi5o

(thanks to @hannahchrstina for sending this article to me)",0.27777777777777785,Neutral,0.37222222222222223,3722,2,16,"Babylon (babylonhealth), Babylon GP at hand (GPatHand), Hannah (hannahchrstina)"
40,Shaun Wooller,shaungw,18/03/2019,"An interesting article about @babylonhealth by @WiredUK: The messy, cautionary tale of how #Babylon disrupted the #NHS https://t.co/N9hBn7ezVg",0.15,Negative,0.45,1657,0,0,"Babylon (babylonhealth), WIRED UK (WiredUK)"
41,Dr Murphy,DrMurphy11,18/03/2019,"The messy, cautionary tale of how Babylon disrupted the NHS. @njkobie @mattburgess1 @WiredUK @babylonhealth #HealthTech #Governance 
https://t.co/NXUrnQCXAF",-0.2,Negative,0.4,4083,14,11,"Nicole Kobie (njkobie), Matt Burgess (mattburgess1), WIRED UK (WiredUK), Babylon (babylonhealth)"
42,Heather,ShrubRM,17/03/2019,"@noodleflute @babylonhealth I mean, it's sounds like your iron levels are a bit low.
Probably worth a blood test to make sure, and increase your vitamin C - it helps your body absorb your iron more easily x",0.23680555555555557,Neutral,0.5516203703703704,893,0,0,"Anita Brien (noodleflute), Babylon (babylonhealth)"
43,Alison Moore,AliJaneMoore,17/03/2019,@noodleflute @babylonhealth Have you been anywhere where you could have come into contact with malaria? #daftquestion,0.0,Negative,0.0,2534,0,1,"Anita Brien (noodleflute), Babylon (babylonhealth)"
44,Jim Parsons,JPWP,17/03/2019,"Big caveat here: 

searching symptoms online a double edge sword, works for some not all.

using health chatbots like @babylonhealth @ourlark (now @23andMe) clearly advantages the artificial intelligence algorithms “listening” to your symptoms WAY more than the individual typing. https://t.co/dm2XTLgyiM",9.25185853854297e-18,Negative,0.3972222222222222,1264,0,1,"Babylon (babylonhealth), Lark Health (ourlark), 23andMe (23andMe)"
45,Katrin Fritsch,KatrinSophie_,17/03/2019,"I asked machine learning engineers from @Google , @babylonhealth , @UniofOxford and more how they imagine artificial intelligence. They think it is a risk, a delusion, a tool &amp; an assistant. This is the research project - so please read, discuss + share 💡
https://t.co/V5EE6kFLa9",-0.04999999999999999,Negative,0.75,345,6,14,"Google (Google), Babylon (babylonhealth), Oxford University (UniofOxford)"
46,Sam Abar,sam_abar,17/03/2019,@noodleflute @babylonhealth @MattHancock is disastrous health secretary. He endorsed @babylonhealth without scrutiny,-0.7,Negative,0.8,53,0,0,"Anita Brien (noodleflute), Babylon (babylonhealth), Matt Hancock (MattHancock), Babylon (babylonhealth)"
47,Sam Abar,sam_abar,17/03/2019,@babylonhealth operating without any regulations. I can’t believe what popped up on my screen roday https://t.co/0FdcbNeVIr,0.0,Negative,0.0,53,0,0,Babylon (babylonhealth)
48,askmyGP,askmygp,17/03/2019,"@DrMurphy11 @sib313 @EinsteinsAttic @bengoldacre @doctorsdilemma @babylonhealth @GPatHand @ptaccesshelp @GPonlineservice @live_evergreen @getdoctorlink @JenniferMayCook @GPonlinenews Crucial to move the debate onto the ground of evidence, and look at whole system effects, not only claimed benefits for tech users.",0.06666666666666667,Negative,0.7999999999999999,1003,3,6,"Dr Murphy (DrMurphy11), Steve the skeptic (sib313), Phil Booth (EinsteinsAttic), ben goldacre (bengoldacre), Anil Adisesh (doctorsdilemma), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Patient Access (ptaccesshelp), GP Online Services (GPonlineservice), Evergreen Life (live_evergreen), Doctorlink (getdoctorlink), Jenny Cook (JenniferMayCook), GPonline.com (GPonlinenews)"
49,Dr Murphy,DrMurphy11,17/03/2019,"@sib313 @EinsteinsAttic @askmygp @bengoldacre @doctorsdilemma @babylonhealth @GPatHand @ptaccesshelp @GPonlineservice @live_evergreen @getdoctorlink It's disappointing that the conversation about NHS online GP consultations, always seems to revolve around the flawed Babylon @GPatHand model...

Will @JenniferMayCook @GPonlinenews offer to run an article focusing on other systems &amp; providers?
https://t.co/vW8uu3of0i",-0.4083333333333334,Negative,0.525,4083,0,1,"Steve the skeptic (sib313), Phil Booth (EinsteinsAttic), askmyGP (askmygp), ben goldacre (bengoldacre), Anil Adisesh (doctorsdilemma), Babylon (babylonhealth), Babylon GP at hand (GPatHand), Patient Access (ptaccesshelp), GP Online Services (GPonlineservice), Evergreen Life (live_evergreen), Doctorlink (getdoctorlink), Babylon GP at hand (GPatHand), Jenny Cook (JenniferMayCook), GPonline.com (GPonlinenews)"
